relation_id,fair_id,company_id,issue_type,recommended_action,details
,28,24284,merge_conflict,MANUAL_REVIEW,duplicate group 'dinamik tekstil mobilya elektronik' shares fair 28
,28,4372,merge_conflict,MANUAL_REVIEW,duplicate group 'ugurlu ev donanimlari' shares fair 28
,28,24386,merge_conflict,MANUAL_REVIEW,duplicate group 'ugurlu ev donanimlari' shares fair 28
,28,4426,merge_conflict,MANUAL_REVIEW,duplicate group 'dogus okul yayinlari' shares fair 28
,28,24268,merge_conflict,MANUAL_REVIEW,duplicate group 'dogus okul yayinlari' shares fair 28
,28,4461,merge_conflict,MANUAL_REVIEW,duplicate group 'kitle koltuk somya mob orm urun day tuk mallari' shares fair 28
,28,24411,merge_conflict,MANUAL_REVIEW,duplicate group 'kitle koltuk somya mob orm urun day tuk mallari' shares fair 28
,28,4469,merge_conflict,MANUAL_REVIEW,duplicate group 'basdinc mobilya' shares fair 28
,28,24228,merge_conflict,MANUAL_REVIEW,duplicate group 'basdinc mobilya' shares fair 28
,28,4476,merge_conflict,MANUAL_REVIEW,duplicate group 'divas mobilya orm urun oto ins' shares fair 28
,28,24264,merge_conflict,MANUAL_REVIEW,duplicate group 'divas mobilya orm urun oto ins' shares fair 28
,28,4480,merge_conflict,MANUAL_REVIEW,duplicate group 'fiba koltuk mobilya tekstil orman urun' shares fair 28
,28,24232,merge_conflict,MANUAL_REVIEW,duplicate group 'fiba koltuk mobilya tekstil orman urun' shares fair 28
,28,4484,merge_conflict,MANUAL_REVIEW,duplicate group 'fatih yildiz celik esya mak mob paz st' shares fair 28
,28,24217,merge_conflict,MANUAL_REVIEW,duplicate group 'fatih yildiz celik esya mak mob paz st' shares fair 28
,28,4489,merge_conflict,MANUAL_REVIEW,duplicate group 'infam mobilya' shares fair 28
,28,24319,merge_conflict,MANUAL_REVIEW,duplicate group 'infam mobilya' shares fair 28
,28,4491,merge_conflict,MANUAL_REVIEW,duplicate group 'isil mobilya' shares fair 28
,28,24406,merge_conflict,MANUAL_REVIEW,duplicate group 'isil mobilya' shares fair 28
,28,4506,merge_conflict,MANUAL_REVIEW,duplicate group 'picasso marnero mob aks ins nak gida' shares fair 28
,28,24357,merge_conflict,MANUAL_REVIEW,duplicate group 'picasso marnero mob aks ins nak gida' shares fair 28
,28,4530,merge_conflict,MANUAL_REVIEW,duplicate group 'inegol berkfa kenar bandi mobilya malzemeleri insaat' shares fair 28
,28,24344,merge_conflict,MANUAL_REVIEW,duplicate group 'inegol berkfa kenar bandi mobilya malzemeleri insaat' shares fair 28
,28,4544,merge_conflict,MANUAL_REVIEW,duplicate group 'dirilis koltuk mobilya insaat' shares fair 28
,28,24237,merge_conflict,MANUAL_REVIEW,duplicate group 'dirilis koltuk mobilya insaat' shares fair 28
,28,4549,merge_conflict,MANUAL_REVIEW,duplicate group 'orion deri' shares fair 28
,28,24403,merge_conflict,MANUAL_REVIEW,duplicate group 'orion deri' shares fair 28
,28,4568,merge_conflict,MANUAL_REVIEW,duplicate group 'pier koltuk tekstil mobilya imalat' shares fair 28
,28,24358,merge_conflict,MANUAL_REVIEW,duplicate group 'pier koltuk tekstil mobilya imalat' shares fair 28
,28,4575,merge_conflict,MANUAL_REVIEW,duplicate group 'rivista mobilya' shares fair 28
,28,24369,merge_conflict,MANUAL_REVIEW,duplicate group 'rivista mobilya' shares fair 28
,28,4592,merge_conflict,MANUAL_REVIEW,duplicate group 'inmob mobilya koltuk nak ins' shares fair 28
,28,24407,merge_conflict,MANUAL_REVIEW,duplicate group 'inmob mobilya koltuk nak ins' shares fair 28
,28,4595,merge_conflict,MANUAL_REVIEW,duplicate group 'seba mensucat' shares fair 28
,28,4596,merge_conflict,MANUAL_REVIEW,duplicate group 'seba mensucat' shares fair 28
,74,18280,merge_conflict,MANUAL_REVIEW,duplicate group 'seritcioglu izzet ancel seritcioglu' shares fair 74
